EXPENSE: DATE 2023-11-18, TYPE R&D, PROJECT ilonena, SUPPLIER taobao, AMOUNT RMB30.93, FEE 3%
EXPENSE: DATE 2025-01-17, TYPE R&D, PROJECT ilonena, SUPPLIER taobao, AMOUNT RMB7.13, FEE 3%
EXPENSE: DATE 2025-08-21, TYPE R&D, PROJECT ilonena, SUPPLIER taobao, AMOUNT RMB8.5, FEE 3%, REMARKS half of shipping fee belongs to this project
EXPENSE: DATE 2025-08-28, TYPE material, PROJECT ilonena, BATCH 1a, SUPPLIER JLCPCB, AMOUNT USD39.73, FEE 3%, REMARKS 5pcs
EXPENSE: DATE 2025-08-30, TYPE material, PROJECT ilonena, BATCH 1a, SUPPLIER taobao, AMOUNT RMB43.58, FEE 3%
EXPENSE: DATE 2025-09-08, TYPE material, PROJECT ilonena, BATCH 1a, SUPPLIER taobao, AMOUNT RMB37.24, FEE 3%
EXPENSE: DATE 2025-10-13, TYPE material, PROJECT ilonena, BATCH 1a, SUPPLIER taobao, AMOUNT RMB60.22, FEE 3%
EXPENSE: DATE 2025-10-18, TYPE material, PROJECT ilonena, BATCH 1b, SUPPLIER JLCPCB, AMOUNT USD39.2, FEE 2%, REMARKS 5pcs, enlarged pin header holes. Paid via credit card
EXPENSE: DATE 2025-10-22, TYPE material, PROJECT ilonena, BATCH 1, SUPPLIER taobao, AMOUNT RMB205.76, FEE 3%, REMARKS Purpose: assemble 10pcs in total
OBTAIN: DATE 2025-10-25, TYPE assembled, PROJECT ilonena, BATCH 1, QUANTITY 10, COSTEACH USD13.063, REMARKS Two of them were actually assembled much earlier while testing with different components at several iterations. Another 3 of them were partially assembled at that same earlier point. But for simplicity I'm gonna group both BATCH 1a and BATCH 1b as BATCH 1
RELEASE: DATE 2025-10-25, TYPE gift, REF 20251025_0, ITEMS ilonena1, REMARKS Kept by jan Sate for R&D use. Actual date was since the beginning of the project. But to avoid linting error, this entry is placed after the OBTAIN record.
RELEASE: DATE 2025-10-29, TYPE sales, REF 20251029_0, ITEMS ilonena2
INCOME: DATE 2025-12-08, TYPE sales, REF 20251101_0c, AMOUNT USD37.94, FEE 3%, REMARKS Paypal fee is USD2.06. The extra 3% for currency conversion loss.
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251101_0d, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251101_0d, AMOUNT USD40, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251101_0e, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251101_0e, AMOUNT USD37.94, FEE 3%

RELEASE: DATE 2025-12-08, TYPE sales, REF 20251208_0, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251208_0, AMOUNT USD30.29, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251208_1, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251208_1, AMOUNT USD54.19, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251208_2, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251208_2, AMOUNT USD30.29, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251208_3, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251208_3, AMOUNT USD50, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251208_4, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251208_4, AMOUNT USD30.29, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251208_5, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251208_5, AMOUNT USD30.29, FEE 3%

RESERVE: DATE 2025-12-08, REF 20251220_0, ITEMS ilonena9, REMARKS To be sent to US for redistribution. Quantity is subject to adjustment
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251220_0a, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251220_0a, AMOUNT USD37.94, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251220_0b, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251220_0b, AMOUNT USD40, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251220_0c, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251220_0c, AMOUNT USD37.94, FEE 3%
RELEASE: DATE 2025-12-08, TYPE sales, REF 20251220_0d, ITEMS ilonena1
INCOME: DATE 2025-12-08, TYPE sales, REF 20251220_0d, AMOUNT USD37.94, FEE 3%

RELEASE: DATE 2025-12-09, TYPE sales, REF 20251209_0, ITEMS ilonena1
INCOME: DATE 2025-12-09, TYPE sales, REF 20251209_0, AMOUNT USD32, FEE 3%

EXPENSE: DATE 2025-12-11, TYPE shipping, REF 20251208_0, AMOUNT HKD49.9, FEE 0, REMARKS Too much effort to account for shipping fee individually. Taking 349.3 divided by 7.
EXPENSE: DATE 2025-12-11, TYPE shipping, REF 20251208_1, AMOUNT HKD49.9, FEE 0, REMARKS ditto
EXPENSE: DATE 2025-12-11, TYPE shipping, REF 20251208_2, AMOUNT HKD49.9, FEE 0, REMARKS ditto
EXPENSE: DATE 2025-12-11, TYPE shipping, REF 20251208_3, AMOUNT HKD49.9, FEE 0, REMARKS ditto
EXPENSE: DATE 2025-12-11, TYPE shipping, REF 20251208_4, AMOUNT HKD49.9, FEE 0, REMARKS ditto
EXPENSE: DATE 2025-12-11, TYPE shipping, REF 20251208_5, AMOUNT HKD49.9, FEE 0, REMARKS ditto
EXPENSE: DATE 2025-12-11, TYPE shipping, REF 20251209_0, AMOUNT HKD49.9, FEE 0, REMARKS ditto

RELEASE: DATE 2025-12-11, TYPE sales, REF 20251211_0, ITEMS ilonena1
INCOME: DATE 2025-12-11, TYPE sales, REF 20251211_0, AMOUNT USD39.85, FEE 3%
